# DIM H: 81
# DIM H: 324
# U4 (E_0^N, E_0^{N+1}): (-7.696434, -8.407244)
# delta U4: -0.710810
 tau             G_00
 0.010000    0.880489
 0.010723    0.879897
 0.011498    0.879266
 0.012328    0.878591
 0.013219    0.877870
 0.014175    0.877101
 0.015199    0.876281
 0.016298    0.875405
 0.017475    0.874472
 0.018738    0.873477
 0.020092    0.872416
 0.021544    0.871287
 0.023101    0.870086
 0.024771    0.868807
 0.026561    0.867448
 0.028480    0.866004
 0.030539    0.864470
 0.032745    0.862843
 0.035112    0.861117
 0.037649    0.859289
 0.040370    0.857354
 0.043288    0.855307
 0.046416    0.853146
 0.049770    0.850864
 0.053367    0.848460
 0.057224    0.845929
 0.061359    0.843268
 0.065793    0.840476
 0.070548    0.837550
 0.075646    0.834489
 0.081113    0.831293
 0.086975    0.827964
 0.093260    0.824503
 0.100000    0.820914
 0.107227    0.817204
 0.114976    0.813379
 0.123285    0.809449
 0.132194    0.805426
 0.141747    0.801326
 0.151991    0.797167
 0.162975    0.792971
 0.174753    0.788764
 0.187382    0.784577
 0.200923    0.780446
 0.215443    0.776411
 0.231013    0.772521
 0.247708    0.768830
 0.265609    0.765401
 0.284804    0.762303
 0.305386    0.759618
 0.327455    0.757436
 0.351119    0.755859
 0.376494    0.755002
 0.403702    0.754995
 0.432876    0.755982
 0.464159    0.758126
 0.497702    0.761609
 0.533670    0.766634
 0.572237    0.773429
 0.613591    0.782251
 0.657933    0.793388
 0.705480    0.807164
 0.756463    0.823945
 0.811131    0.844148
 0.869749    0.868250
 0.932603    0.896797
 1.000000    0.930424
 1.072267    0.969869
 1.149757    1.016006
 1.232847    1.069868
 1.321941    1.132697
 1.417474    1.205996
 1.519911    1.291597
 1.629751    1.391760
 1.747528    1.509291
 1.873817    1.647708
 2.009233    1.811457
 2.154435    2.006207
 2.310130    2.239247
 2.477076    2.520038
 2.656088    2.860974
 2.848036    3.278454
 3.053856    3.794407
 3.274549    4.438490
 3.511192    5.251287
 3.764936    6.289051
 4.037017    7.630812
 4.328761    9.389216
 4.641589   11.727300
 4.977024   14.884916
 5.336699   19.221105
 5.722368   25.283340
 6.135907   33.923018
 6.579332   46.492209
 7.054802   65.186587
 7.564633   93.657713
 8.111308  138.134657
 8.697490  209.535450
 9.326033  327.558950
10.000000  528.863485
