# DIM H: 7056
# Diagonalised!
# DIM H: 10584
# Diagonalised!
# U4 (E_0^N, E_0^{N+1}): (-10.275379, -9.739872)
# delta U4: 0.535507
 tau           G_00 
 0.010000  0.648716
 0.010723  0.647449
 0.011498  0.646094
 0.012328  0.644646
 0.013219  0.643099
 0.014175  0.641447
 0.015199  0.639683
 0.016298  0.637800
 0.017475  0.635790
 0.018738  0.633647
 0.020092  0.631361
 0.021544  0.628925
 0.023101  0.626329
 0.024771  0.623564
 0.026561  0.620621
 0.028480  0.617489
 0.030539  0.614159
 0.032745  0.610620
 0.035112  0.606861
 0.037649  0.602872
 0.040370  0.598640
 0.043288  0.594154
 0.046416  0.589403
 0.049770  0.584377
 0.053367  0.579062
 0.057224  0.573449
 0.061359  0.567526
 0.065793  0.561283
 0.070548  0.554711
 0.075646  0.547800
 0.081113  0.540542
 0.086975  0.532929
 0.093260  0.524957
 0.100000  0.516621
 0.107227  0.507917
 0.114976  0.498845
 0.123285  0.489405
 0.132194  0.479602
 0.141747  0.469441
 0.151991  0.458929
 0.162975  0.448079
 0.174753  0.436903
 0.187382  0.425419
 0.200923  0.413646
 0.215443  0.401606
 0.231013  0.389327
 0.247708  0.376835
 0.265609  0.364162
 0.284804  0.351341
 0.305386  0.338408
 0.327455  0.325401
 0.351119  0.312359
 0.376494  0.299321
 0.403702  0.286328
 0.432876  0.273422
 0.464159  0.260642
 0.497702  0.248028
 0.533670  0.235619
 0.572237  0.223451
 0.613591  0.211558
 0.657933  0.199972
 0.705480  0.188721
 0.756463  0.177829
 0.811131  0.167318
 0.869749  0.157202
 0.932603  0.147494
 1.000000  0.138200
 1.072267  0.129320
 1.149757  0.120852
 1.232847  0.112788
 1.321941  0.105113
 1.417474  0.097812
 1.519911  0.090866
 1.629751  0.084252
 1.747528  0.077948
 1.873817  0.071933
 2.009233  0.066185
 2.154435  0.060688
 2.310130  0.055426
 2.477076  0.050390
 2.656088  0.045574
 2.848036  0.040979
 3.053856  0.036607
 3.274549  0.032465
 3.511192  0.028562
 3.764936  0.024910
 4.037017  0.021520
 4.328761  0.018400
 4.641589  0.015558
 4.977024  0.012998
 5.336699  0.010720
 5.722368  0.008720
 6.135907  0.006987
 6.579332  0.005510
 7.054802  0.004272
 7.564633  0.003251
 8.111308  0.002426
 8.697490  0.001772
 9.326033  0.001266
10.000000  0.000882
